temperature,city,pressure,date
280.44,Zurich,992,2024-01-17 15:33
262.41,Washington,1011,2024-01-17 15:33
279.45,Tokyo,1021,2024-01-17 15:33
272.05,Stockholm,981,2024-01-17 15:33
287.04,Province of Siena,1000,2024-01-17 15:33
273.89,Seoul,1022,2024-01-17 15:33
265.18,Rome,1029,2024-01-17 15:33
292.23,Riyadh,1018,2024-01-17 15:33
276.48,Paris,984,2024-01-17 15:33
261.01,Ottawa,1008,2024-01-17 15:33
259.91,Moscow,1011,2024-01-17 15:33
284.91,Madrid,1002,2024-01-17 15:33
275.41,London,989,2024-01-17 15:33
292.11,Canberra,1005,2024-01-17 15:33
294.57,Cairo,1020,2024-01-17 15:33
271.88,Brussels,987,2024-01-17 15:33
272.53,Berlin,979,2024-01-17 15:33
289.69,Athens,1016,2024-01-17 15:33
281.18,Ankara,1019,2024-01-17 15:33
