temperature,city,pressure,date
294.57,Cairo,1019,2024-01-17 14:16
262.51,Washington,1015,2024-01-17 11:21.json
265.18,Rome,1029,2024-01-17 15:33
262.63,Washington,1013,2024-01-17 12:32.json
287.51,Province of Siena,1000,2024-01-17 14:16
273.0,Berlin,980,2024-01-17 14:16
262.63,Rome,1028,2024-01-17 14:19
262.41,Washington,1012,2024-01-17 15:19
262.44,Washington,1013,2024-01-17 13:17.json
279.59,Paris,984,2024-01-17 14:25
262.86,Rome,1028,2024-01-17 14:25
294.57,Cairo,1020,2024-01-17 15:33
272.99,Berlin,980,2024-01-17 14:13
294.57,Cairo,1020,2024-01-17 15:19
272.53,Berlin,979,2024-01-17 15:33
294.57,Cairo,1020,2024-01-17 15:22
273.09,Berlin,980,2024-01-17 14:09
294.57,Cairo,1019,2024-01-17 14:19
280.59,Paris,984,2024-01-17 14:24
294.57,Cairo,1019,2024-01-17 14:13
272.56,Berlin,979,2024-01-17 15:19
280.52,Zurich,993,2024-01-17 14:24
262.44,Washington,1013,2024-01-17 13:15.json
259.91,Moscow,1011,2024-01-17 15:33
279.45,Tokyo,1021,2024-01-17 15:33
275.62,London,989,2024-01-17 13:44
287.04,Province of Siena,1000,2024-01-17 15:33
262.41,Washington,1011,2024-01-17 15:33
275.65,London,989,2024-01-17 14:13
262.75,Washington,1013,2024-01-17 12:03.json
292.23,Riyadh,1018,2024-01-17 15:33
276.48,Paris,984,2024-01-17 15:33
280.83,Paris,984,2024-01-17 14:02
280.83,Paris,984,2024-01-17 14:19
262.86,Rome,1028,2024-01-17 14:24
275.41,London,989,2024-01-17 15:33
262.34,Washington,1012,2024-01-17 14:13
275.61,London,989,2024-01-17 14:24
287.51,Province of Siena,1000,2024-01-17 14:25
271.88,Brussels,987,2024-01-17 15:33
281.3,Paris,984,2024-01-17 13:44
275.61,London,989,2024-01-17 14:25
262.48,Washington,1012,2024-01-17 14:24
276.14,Paris,984,2024-01-17 15:22
262.14,Rome,1027,2024-01-17 14:02
262.34,Washington,1012,2024-01-17 14:09
262.44,Washington,1013,2024-01-17 13:11.json
272.93,Berlin,980,2024-01-17 14:24
262.14,Rome,1027,2024-01-17 14:09
287.51,Province of Siena,1000,2024-01-17 14:24
292.11,Canberra,1005,2024-01-17 15:33
275.55,London,989,2024-01-17 15:22
262.56,Washington,1012,2024-01-17 14:16
294.57,Cairo,1019,2024-01-17 14:25
272.93,Berlin,980,2024-01-17 14:19
262.74,Rome,1027,2024-01-17 14:13
281.18,Ankara,1019,2024-01-17 15:33
275.63,London,989,2024-01-17 14:02
273.89,Seoul,1022,2024-01-17 15:33
284.91,Madrid,1002,2024-01-17 15:33
262.47,Washington,1015,2024-01-17 10:48.json
280.71,Zurich,992,2024-01-17 15:19
275.63,London,989,2024-01-17 14:09
262.63,Washington,1013,2024-01-17 12:29.json
275.65,London,989,2024-01-17 14:19
262.75,Washington,1013,2024-01-17 12:15.json
280.83,Paris,984,2024-01-17 14:16
265.17,Rome,1028,2024-01-17 15:19
287.1,Province of Siena,1000,2024-01-17 15:22
262.44,Washington,1013,2024-01-17 13:12.json
287.51,Province of Siena,1000,2024-01-17 14:09
265.17,Rome,1028,2024-01-17 15:22
262.44,Washington,1013,2024-01-17 13:28.json
280.2,Zurich,992,2024-01-17 14:02
280.64,Zurich,993,2024-01-17 14:13
275.55,London,989,2024-01-17 15:19
287.51,Province of Siena,1000,2024-01-17 14:13
294.57,Cairo,1019,2024-01-17 14:24
262.63,Rome,1028,2024-01-17 14:16
294.57,Cairo,1019,2024-01-17 14:09
272.05,Stockholm,981,2024-01-17 15:33
262.39,Washington,1013,2024-01-17 12:54.json
294.57,Cairo,1019,2024-01-17 14:02
287.51,Province of Siena,1000,2024-01-17 14:19
262.46,Washington,1012,2024-01-17 13:44
262.75,Washington,1013,2024-01-17 12:22.json
280.52,Zurich,993,2024-01-17 14:25
262.48,Washington,1012,2024-01-17 14:25
262.41,Washington,1012,2024-01-17 15:22
280.51,Zurich,992,2024-01-17 15:22
289.69,Athens,1016,2024-01-17 15:33
262.38,Washington,1013,2024-01-17 11:39.json
277.39,Paris,984,2024-01-17 15:19
280.64,Zurich,993,2024-01-17 14:16
280.44,Zurich,992,2024-01-17 15:33
280.83,Paris,984,2024-01-17 14:09
287.51,Province of Siena,1000,2024-01-17 14:02
262.56,Washington,1012,2024-01-17 14:19
262.5,Washington,1012,2024-01-17 14:02
272.93,Berlin,980,2024-01-17 14:25
272.56,Berlin,979,2024-01-17 15:22
280.63,Zurich,993,2024-01-17 14:19
287.1,Province of Siena,1000,2024-01-17 15:19
275.65,London,989,2024-01-17 14:16
262.38,Washington,1016,2024-01-17 10:22.json
261.01,Ottawa,1008,2024-01-17 15:33
273.09,Berlin,980,2024-01-17 14:02
280.64,Zurich,993,2024-01-17 14:09
280.83,Paris,984,2024-01-17 14:13
